source,target,weight
hillel salem,dan chmielinski,2
hillel salem,francesco ciniglio,2
eitan gofman,miki yamanaka,1
eitan gofman,dan chmielinski,1
eitan gofman,francesco ciniglio,1
miki yamanaka,dan chmielinski,2
miki yamanaka,francesco ciniglio,2
dan chmielinski,francesco ciniglio,2
hillel salem,alexander levin,1
alexander levin,miki yamanaka,1
alexander levin,dan chmielinski,1
alexander levin,francesco ciniglio,1
michael bond,mike karn,1
michael bond,francesco ciniglio,1
mike karn,francesco ciniglio,1
francesco ciniglio,tuomo uusitalo,5
francesco ciniglio,dave baron,1
tuomo uusitalo,dave baron,1
francesco ciniglio,sam anning,1
tuomo uusitalo,sam anning,1
tuomo uusitalo,steve whipple,2
steve whipple,francesco ciniglio,2
tuomo uusitalo,or bareket,1
or bareket,francesco ciniglio,1
tivon pennicott,stacy dillard,2
tivon pennicott,john chin,2
tivon pennicott,spencer murphy,2
tivon pennicott,francesco ciniglio,2
stacy dillard,john chin,3
stacy dillard,spencer murphy,2
stacy dillard,francesco ciniglio,2
john chin,spencer murphy,2
john chin,francesco ciniglio,2
spencer murphy,francesco ciniglio,3
francesco ciniglio,michael king,1
spencer murphy,michael king,1
michela marino,alexander claffy,1
michela marino,spike wilner,1
michela marino,francesco ciniglio,1
alexander claffy,spike wilner,1
alexander claffy,francesco ciniglio,1
spike wilner,francesco ciniglio,1
wayne tucker,alex wintz,1
wayne tucker,francesco ciniglio,1
alex wintz,francesco ciniglio,1
tony hewitt,saul rubin,1
tony hewitt,joe sanders,1
tony hewitt,bernard linnette,1
saul rubin,joe sanders,1
saul rubin,bernard linnette,1
joe sanders,bernard linnette,1
joe sanders,eden ladin,3
joe sanders,rodney green,5
john ellis,eden ladin,1
john ellis,rodney green,1
eden ladin,rodney green,2
taylor eigsti,joe sanders,2
taylor eigsti,obed calvaire,1
joe sanders,obed calvaire,1
ben van,joe sanders,3
ben van,craig weinrib,1
mark turner,joe sanders,1
mark turner,craig weinrib,1
joe sanders,craig weinrib,1
eden ladin,colin stranahan,1
joe sanders,colin stranahan,1
ben wendel,gerald clayton,1
ben wendel,joe sanders,3
ben wendel,henry cole,1
gerald clayton,joe sanders,5
gerald clayton,henry cole,1
joe sanders,henry cole,1
sam newsome,joe sanders,1
sam newsome,zaccai curtis,1
sam newsome,dorota piotrowska,1
joe sanders,zaccai curtis,1
joe sanders,dorota piotrowska,1
zaccai curtis,dorota piotrowska,1
theo hill,dayna stephens,2
theo hill,joe sanders,2
theo hill,rodney green,2
myron walden,dayna stephens,2
myron walden,joe sanders,2
myron walden,rodney green,2
dayna stephens,joe sanders,2
dayna stephens,rodney green,2
greg hutchinson,john ellis,2
greg hutchinson,gerald clayton,2
greg hutchinson,joe sanders,2
john ellis,gerald clayton,2
ron blake,john ellis,1
ron blake,gerald clayton,1
ron blake,joe sanders,1
ron blake,greg hutchinson,1
gerald clayton,lionel lueke,1
gerald clayton,justin brown,2
lionel lueke,joe sanders,1
lionel lueke,justin brown,1
joe sanders,justin brown,5
luis perdomo,joe sanders,1
luis perdomo,rodney green,1
mark shim,joe sanders,1
mark shim,rodney green,1
ben van,ben wendel,2
ben van,taylor eigsti,1
ben van,justin brown,2
ben wendel,taylor eigsti,1
taylor eigsti,justin brown,1
jure pukl,leo genovese,1
jure pukl,joe sanders,1
leo genovese,joe sanders,1
leo genovese,justin brown,1
emmet cohen,joe sanders,1
emmet cohen,evan sherman,1
joe sanders,evan sherman,1
simona premazzi,mike rodriguez,1
simona premazzi,mark shim,2
simona premazzi,joe martin,3
simona premazzi,kush abadey,2
mike rodriguez,joe martin,1
mike rodriguez,kush abadey,1
mark shim,joe martin,2
mark shim,kush abadey,2
joe martin,kush abadey,3
luke sellick,adam birnbaum,1
luke sellick,andrew renfroe,1
luke sellick,jordan pettay,1
luke sellick,jimmy macbride,1
luke sellick,mike rodriguez,1
adam birnbaum,andrew renfroe,1
adam birnbaum,jordan pettay,1
adam birnbaum,jimmy macbride,1
adam birnbaum,mike rodriguez,3
andrew renfroe,jordan pettay,1
andrew renfroe,jimmy macbride,1
andrew renfroe,mike rodriguez,1
jordan pettay,jimmy macbride,1
jordan pettay,mike rodriguez,1
jimmy macbride,mike rodriguez,1
pete zimmer,mike rodriguez,1
pete zimmer,joel frahm,1
pete zimmer,rick germanson,1
pete zimmer,yasushi nakamura,1
mike rodriguez,joel frahm,1
mike rodriguez,rick germanson,1
joel frahm,rick germanson,1
joel frahm,yasushi nakamura,1
rick germanson,yasushi nakamura,1
paul nedzela,mike rodriguez,1
paul nedzela,adam birnbaum,1
paul nedzela,paul sikivie,1
paul nedzela,lawrence leathers,1
mike rodriguez,paul sikivie,1
